State,Pop,GDP_per_capita
Alaska,724357,74135
Texas,29730311,63608
California,39613493,79437
Montana,1085004,49466
New Mexico,2105005,50077
Arizona,7520103,50758
Nevada,3185786,57655
Colorado,5893634,68245
Oregon,4289439,60156
Wyoming,581075,69676
Michigan,9992427,53771
Minnesota,5706398,68045
Utah,3310774,60099
Idaho,1860123,46765
Kansas,2917224,60596
Nebraska,1951996,67274
South Dakota,896581,61931
Washington,7796941,80509
North Dakota,770026,74871
Oklahoma,3990443,51011
Missouri,6169038,53481
Florida,21944577,51484
Wisconsin,5852490,59990
Georgia,10830007,58874
Illinois,12569321,69913
Iowa,3167974,61609
New York,19299981,91057
North Carolina,10701022,56336
Arkansas,3033946,43348
Alabama,4934193,46484
Louisiana,4627002,55153
Mississippi,2966407,38940
Pennsylvania,12804123,63188
Ohio,11714618,59450
Virginia,8603985,65085
Tennessee,6944260,55134
Kentucky,4480713,48162
Indiana,6805663,56408
Maine,1354522,50318
South Carolina,5277830,47995
West Virginia,1767859,43929
Maryland,6065436,70479
Hawaii,1406430,67634
Massachusetts,6912239,86527
Vermont,623251,54505
New Hampshire,1372203,64400
New Jersey,8874520,71394
Connecticut,3552821,80712
Delaware,990334,78924
Rhode Island,1061509,58483
