ID,average graduation rate,total number of ranked schools,total number of ranked schools with graduation rate
Iowa,94,317,317
Kentucky,94,226,225
Texas,93,1524,1450
Nebraska,93,201,201
Missouri,93,471,468
Massachusetts,93,348,340
Connecticut,92,205,205
Alabama,92,361,360
Wisconsin,92,462,461
New Jersey,92,406,406
Virginia,92,319,319
West Virginia,92,92,92
North Dakota,92,88,88
South Dakota,91,113,113
Nevada,91,85,84
Kansas,90,292,290
Tennessee,90,354,320
Montana,90,85,85
Utah,89,162,157
North Carolina,89,539,537
Pennsylvania,89,678,676
Arkansas,89,271,271
Ohio,89,683,679
New Hampshire,89,82,80
Michigan,89,650,641
Indiana,88,381,379
Florida,88,602,600
Illinois,88,647,647
Rhode Island,88,59,59
Oklahoma,88,409,407
Maine,87,79,79
Maryland,87,212,212
Delaware,87,42,32
Minnesota,87,414,412
Washington,86,300,274
Idaho,86,146,146
Georgia,85,426,424
Hawaii,85,38,38
California,85,1675,1671
South Carolina,85,222,221
New York,84,1218,1204
Mississippi,84,234,230
Louisiana,84,318,318
Wyoming,83,66,66
Vermont,83,48,48
Alaska,83,71,71
Oregon,82,247,247
Colorado,82,368,368
New Mexico,76,150,142
District of Columbia,76,35,34
Arizona,75,436,424
